Year;BRA;COD;AGO;TZA;MOZ;MMR
33;492441.34195;126405.00282;-183170.60000;-154770.00000;-76875.08000;-95604.30000
34;516165.24541;135675.23680;-188721.22500;-159460.00000;-79193.39000;-98501.40000
35;539889.14886;144945.47079;-194271.85000;-164150.00000;-81511.70000;-101398.50000
36;563613.05231;154215.70478;-199822.47500;-168840.00000;-83830.01000;-104295.60000
37;587336.95576;163485.93877;-205373.10000;-173530.00000;-86148.32000;-107192.70000
38;611060.85922;172756.17276;-210923.72500;-178220.00000;-88466.63000;-110089.80000
39;634784.76267;182026.40675;-216474.35000;-182910.00000;-90784.94000;-112986.90000
40;658508.66612;191296.64073;-222024.97500;-187600.00000;-93103.25000;-115884.00000
41;682232.56957;200566.87472;-227575.60000;-192290.00000;-95421.56000;-118781.10000
42;705956.47303;209837.10871;-233126.22500;-196980.00000;-97739.87000;-121678.20000
43;729680.37648;219107.34270;-238676.85000;-201670.00000;-100058.18000;-124575.30000
44;753404.27993;228377.57669;-244227.47500;-206360.00000;-102376.49000;-127472.40000
45;777128.18338;237647.81067;-249778.10000;-211050.00000;-104694.80000;-130369.50000
46;800852.08683;246918.04466;-255328.72500;-215740.00000;-107013.11000;-133266.60000
47;824575.99029;256188.27865;-260879.35000;-220430.00000;-109331.42000;-136163.70000
48;848299.89374;265458.51264;-266429.97500;-225120.00000;-111649.73000;-139060.80000
49;872023.79719;274728.74663;-271980.60000;-229810.00000;-113968.04000;-141957.90000
50;895747.70064;283998.98062;-277531.22500;-234500.00000;-116286.35000;-144855.00000
51;919471.60410;293269.21460;-283081.85000;-239190.00000;-118604.66000;-147752.10000
52;943195.50755;302539.44859;-262841.42516;-243880.00000;-120922.97000;-150649.20000
53;966919.41100;311809.68258;-255496.52523;-248570.00000;-123241.28000;-153546.30000
54;990643.31445;321079.91657;-248151.62531;-253260.00000;-125559.59000;-156443.40000
55;1014367.21790;330350.15056;-240806.72539;-257950.00000;-127877.90000;-159340.50000
56;1038091.12136;339620.38454;-233461.82547;-262640.00000;-130196.21000;-162237.60000
57;1061815.02481;348890.61853;-226116.92554;-267330.00000;-132514.52000;-165134.70000
58;1085538.92826;358160.85252;-218772.02562;-272020.00000;-134832.83000;-168031.80000
59;1109262.83171;367431.08651;-211427.12570;-276710.00000;-137151.14000;-170928.90000
60;1132986.73517;376701.32050;-204082.22578;-281400.00000;-139469.45000;-173826.00000
61;1156710.63862;385971.55448;-196737.32586;-286090.00000;-141787.76000;-176723.10000
62;1180434.54207;395241.78847;-189392.42593;-290780.00000;-144106.07000;-179620.20000
63;1204158.44552;404512.02246;-182047.52601;-295470.00000;-146424.38000;-182517.30000
64;1227882.34898;413782.25645;-174702.62609;-300160.00000;-148742.69000;-185414.40000
65;1251606.25243;423052.49044;-167357.72617;-304850.00000;-151061.00000;-188311.50000
66;1275330.15588;432322.72443;-160012.82624;-309540.00000;-153379.31000;-191208.60000
67;1299054.05933;441592.95841;-152667.92632;-314230.00000;-155697.62000;-194105.70000
68;1322777.96278;450863.19240;-145323.02640;-318920.00000;-158015.93000;-197002.80000
69;1346501.86624;460133.42639;-137978.12648;-323610.00000;-160334.24000;-199899.90000
70;1370225.76969;469403.66038;-130633.22655;-328300.00000;-162652.55000;-202797.00000
71;1393949.67314;478673.89437;-123288.32663;-332990.00000;-164970.86000;-205694.10000
72;1417673.57659;487944.12835;-115943.42671;-337680.00000;-167289.17000;-208591.20000
73;1441397.48004;497214.36234;-108598.52679;-342370.00000;-169607.48000;-211488.30000
74;1465121.38350;506484.59633;-101253.62687;-347060.00000;-171925.79000;-214385.40000
75;1488845.28695;515754.83032;-93908.72694;-351750.00000;-174244.10000;-217282.50000
76;1512569.19040;525025.06431;-86563.82702;-356440.00000;-176562.41000;-220179.60000
77;1536293.09385;534295.29830;-79218.92710;-361130.00000;-178880.72000;-223076.70000
78;1560016.99731;543565.53228;-71874.02718;-365820.00000;-181199.03000;-225973.80000
79;1583740.90076;552835.76627;-64529.12726;-370510.00000;-183517.34000;-228870.90000
80;1607464.80421;562106.00026;-57184.22733;-375200.00000;-185835.65000;-231768.00000
81;1631188.70766;571376.23425;-49839.32741;-379890.00000;-188153.96000;-234665.10000
82;1654912.61111;580646.46824;-42494.42749;-384580.00000;-190472.27000;-237562.20000
83;1678636.51457;589916.70222;-35149.52757;-389270.00000;-192790.58000;-240459.30000
84;1702360.41802;599186.93621;-27804.62764;-393960.00000;-195108.89000;-243356.40000
85;1726084.32147;608457.17020;-20459.72772;-398650.00000;-197427.20000;-246253.50000
86;1749808.22492;617727.40419;-13114.82780;-403340.00000;-199745.51000;-249150.60000
