Offset Credits Cost Adjustment,Emission Reduction Cost Adjustment,Reforestation Cost Adjustment,T15Year,T15CO2,T15ForestSize,T20Year,T20CO2,T20ForestSize,ForestSize2050,CO2Concentration2050,Temperature2050,ForestSize2100,CO2Concentration2100,Temperature2100
1.0,0.5,0.15,2031.0,443.01698,42065002.23371,2050.0,483.01506,46598937.48289,46743291.00041,483.78807,2.00924,68446851.74233,438.93267,1.44946
1.0,0.05,0.75,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.2,0.7,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.8,0.75,2031.0,443.01683,41479057.43787,2049.0,483.01187,44451952.15431,44751039.65761,485.46251,2.02927,61017613.57327,460.37114,1.72406
1.0,0.95,0.8,2031.0,443.0163,41898078.68392,2048.0,483.00737,45614077.13852,46155516.73548,486.71385,2.0442,66968923.72427,477.96521,1.94022
1.0,0.95,0.45,2031.0,443.01714,42769158.58402,2049.0,483.00808,48142962.31845,48866230.05371,486.50482,2.04171,76310843.89344,472.00624,1.86793
1.0,0.5,0.55,2031.0,443.0154,40028521.29203,2049.0,483.01053,39633414.77403,39605835.41616,485.34216,2.02784,40200212.8022,453.88107,1.64223
1.0,0.2,0.45,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.15,0.95,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.25,1.0,2031.0,443.01698,39806253.80441,2049.0,483.01073,38909561.63365,38832841.58993,485.6514,2.03153,36643798.35232,457.05025,1.68231
1.0,0.35,0.05,2031.0,443.01561,42456089.33676,2047.0,483.00118,47195882.17119,48323884.1719,489.45799,2.0768,76997475.81364,492.71764,2.11607
1.0,0.95,0.05,2031.0,443.01579,43469184.98982,2047.0,482.9987,49800254.50494,51657673.0675,491.44444,2.10029,90824756.51261,551.6337,2.76801
